date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:58	1444/1444	---M-Z	404	error ('Not%20Found')	text/html	etag:1669436516-ssl-df	https://63819465adf1a04458910f5b--te-station.netlify.app/robots.txt		(from )
19:41:58	11934/11934	---MCZ	200	added ('OK')	text/html	etag:%2206f6fd64787e64a540ced221b7de0543-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/index.html	(from )
19:41:59	68243/68243	---MCZ	200	added ('OK')	text/css	etag:%22b2f99af96939735909ac5423f2d1f3bd-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:41:59	10451/10451	---MCZ	200	added ('OK')	text/css	etag:%225aa6c05b90ee6a7e6efd4294f309bc6c-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/styles.css	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/styles.css	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:00	11934/11934	---MCZ	200	added ('OK')	text/html	etag:%2206f6fd64787e64a540ced221b7de0543-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/index.html	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/index-2.html	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:01	4003/4003	---MCZ	200	added ('OK')	text/html	etag:%226ed11e96f2f5b2f45bc3d27a40de0c94-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/skills.html	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/skills.html	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:01	3437/3437	---M-Z	200	added ('OK')	text/html	etag:%22ad77ff8122e0a68bc557eb8f33946def-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/about.html	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/about.html	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:02	4320/4320	---MCZ	200	added ('OK')	text/html	etag:%22d387ffa81bb27645346bc3e422131358-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/products.html	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/products.html	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:02	76230/76230	---M--	200	added ('OK')	image/jpeg	etag:%228fe2fba9a00f418b7e9b3e9a77348e16-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/images/about-bcg.jpeg	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/images/about-bcg.jpg	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:03	73988/73988	---M--	200	added ('OK')	image/jpeg	etag:%2255c7a21773901d6bc27a8fc28bd3b8f9-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/images/product-1.jpeg	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/images/product-1.jpg	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:03	38420/38420	---M--	200	added ('OK')	image/jpeg	etag:%22f497a7d279245f45df727686b3487305-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/images/product-2.jpeg	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/images/product-2.jpg	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:04	48432/48432	---M--	200	added ('OK')	image/jpeg	etag:%229bb49a7ff271f6c4bd4d0e400061250d-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/images/product-3.jpeg	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/images/product-3.jpg	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:04	322/322	---M--	200	added ('OK')	application/javascript	etag:%224e0d9f2db2523955899264af430ad592-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/app.js	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/app.js	(from https://63819465adf1a04458910f5b--te-station.netlify.app/)
19:42:05	125320/125320	---MCZ	200	added ('OK')	application/octet-stream	etag:%22b7286f7f108ce58e8694c422a022fe0f-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.eot	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.eot	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:05	125320/125320	---M-Z	200	added ('OK')	application/octet-stream	etag:%22b7286f7f108ce58e8694c422a022fe0f-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.eot?	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400d41d.eot	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:06	72112/72112	---M--	200	added ('OK')	font/woff2	etag:%22d7ac8f692367f74e93abecab80a78e2a-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.woff2	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.woff2	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:06	84564/84564	---MCZ	200	added ('OK')	application/font-woff	etag:%229731d14f251171055ed9502b478fdaa2-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.woff	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.woff	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:07	125016/125016	---M--	200	added ('OK')	font/ttf	etag:%22872f557065a0dcf4fdd5b5c202645600-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.ttf	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.ttf	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:08	659876/659876	---MCZ	200	added ('OK')	image/svg+xml	etag:%22c63688f140193986712905e90b8f890b-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.svg	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-brands-400.svg	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:08	34388/34388	---MCZ	200	added ('OK')	application/octet-stream	etag:%229bc861ff393d72efa64e2357be50fb4b-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.eot	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.eot	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:08	34388/34388	---M-Z	200	added ('OK')	application/octet-stream	etag:%229bc861ff393d72efa64e2357be50fb4b-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.eot?	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400d41d.eot	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:09	13592/13592	---M--	200	added ('OK')	font/woff2	etag:%2204a50c8621218c237b87a63532d4e777-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.woff2	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.woff2	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:09	16812/16812	---MCZ	200	added ('OK')	application/font-woff	etag:%228a954973cd87195127d77fac282daf27-ssl-df%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.woff	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.woff	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
19:42:10	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%2288010f4d9181b05d571c0a8b308f7d7c-ssl%22	https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.ttf	C:/Users/Drume/Desktop/Tea.station/station.tea/Tea.station/63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/webfonts/fa-regular-400.ttf	(from https://63819465adf1a04458910f5b--te-station.netlify.app/fontawesome-free-5.7.2-web%202/css/all.css)
